1,336,348
2,327,342
3,339,356
4,341,354
5,326,340
6,434,448
7,436,453
8,420,433
9,419,436
10,428,434
11,580,588
12,564,583
13,573,580
14,570,579
15,564,575
16,656,666
17,644,662
18,673,689
19,647,661
20,664,679
21,563,570
22,558,570
23,564,577
24,568,585
25,559,578
26,761,772
27,759,770
28,758,768
29,752,772
30,747,758
31,942,954
32,949,958
33,968,975
34,945,956
35,951,965
36,1133,1145
37,1134,1146
38,1141,1151
39,1117,1135
40,1127,1139
41,709,728
42,717,731
43,712,725
44,723,731
45,706,725
46,958,966
47,963,978
48,960,971
49,947,954
50,947,961
51,1139,1151
52,1178,1189
53,1195,1199
54,1171,1185
55,1171,1181
56,1451,1456
57,1449,1456
58,1433,1441
59,1447,1452
60,1446,1455
